FROM_BLOCK_HEIGHT, TO_BLOCK_HEIGHT, BITS, DIFFICULTY
0, 32255, 0x1d00ffff, 1
32256, 34271, 0x1d00d86a, 1.182899534312841
34272, 36287, 0x1d00c428, 1.305062131591525
36288, 38303, 0x1d00be71, 1.344224970771029
38304, 40319, 0x1d008cc3, 1.818648536145414
40320, 42335, 0x1c654657, 2.527738215072359
42336, 44351, 0x1c43b3e5, 3.781179252033766
44352, 46367, 0x1c387f6f, 4.531081750070693
46368, 48383, 0x1c381375, 4.56516291033707
48384, 50399, 0x1c2a1115, 6.085476906000794
50400, 52415, 0x1c20bca7, 7.819796993353832
52416, 54431, 0x1c16546f, 11.46431580551412
54432, 56447, 0x1c13ec53, 12.84918314782378
56448, 58463, 0x1c159c24, 11.84622814970471
58464, 60479, 0x1c0f675c, 16.61907875185736
60480, 62495, 0x1c0eba64, 17.38148815814011
62496, 64511, 0x1c0d3142, 19.40479632838217
64512, 66527, 0x1c0ae493, 23.50125722290317
66528, 68543, 0x1c05a3f4, 45.38582234101263
68544, 70559, 0x1c0168fd, 181.5432893640505
70560, 72575, 0x1c010c5a, 244.2132230923753
72576, 74591, 0x1c00ba18, 352.1612090680101
74592, 76607, 0x1c00800e, 511.7735342566043
76608, 78623, 0x1b692098, 623.3869598689275
78624, 80639, 0x1b5bede6, 712.8848645520973
80640, 82655, 0x1b4766ed, 917.8307413015116
82656, 84671, 0x1b31b2a3, 1318.670050153592
84672, 86687, 0x1b2f8e9d, 1378.028165037326
86688, 88703, 0x1b1e7eca, 2149.021814946726
88704, 90719, 0x1b153263, 3091.736890411797
90720, 92735, 0x1b0e7256, 4536.353723275037
92736, 94751, 0x1b098b2a, 6866.898648972739
94752, 96767, 0x1b081cd2, 8078.195257925088
96768, 98783, 0x1b055953, 12251.9997603745
98784, 99999, 0x1b04864c, 14484.1623612254
